tweet_id,favorites,retweet_count
876120275196170240,28041,4774
875747767867523072,25310,4366
875144289856114688,22015,5009
875097192612077568,27534,6148
875021211251597312,25602,4796
874680097055178752,27991,4727
874434818259525634,0,15063
874296783580663808,26199,4194
874057562936811520,22770,4031
874012996292530176,34896,10671
873580283840344065,24397,4029
873337748698140672,0,1621
873213775632977920,7314,1621
872967104147763200,27559,5513
872820683541237760,14818,3779
872668790621863937,0,28
872620804844003328,20936,3790
872486979161796608,40987,9201
872261713294495745,34505,6477
872122724285648897,34729,8313
871879754684805121,38389,11501
871762521631449091,20441,3566
871515927908634625,20397,3539
871166179821445120,0,5827
871102520638267392,21120,5619
871032628920680449,22883,3899
870804317367881728,34004,6384
870726314365509632,120,3
870656317836468226,12580,2726
870374049280663552,83621,26966
870308999962521604,22075,4270
870063196459192321,37118,8604
869772420881756160,42948,10351
869702957897576449,28620,6526
869596645499047938,16207,3231
869227993411051520,20733,3914
868880397819494401,66610,14988
868639477480148993,0,2167
868622495443632128,27802,5959
868552278524837888,10344,2167
867900495410671616,24560,4322
867774946302451713,34555,7585
867421006826221569,16452,2609
867072653475098625,0,131
867051520902168576,32824,8172
866720684873056260,20490,5017
866686824827068416,19728,3625
866450705531457537,124586,36618
866334964761202691,53693,15062
866094527597207552,0,8702
865718153858494464,26146,5833
865359393868664832,27053,5218
865006731092295680,28604,8000
864873206498414592,33042,9111
864279568663928832,14949,3181
864197398364647424,30875,9362
863907417377173506,21110,4328
863553081350529029,15658,4358
863471782782697472,0,2591
863432100342583297,24361,5521
863427515083354112,2316,101
863079547188785154,8960,1153
863062471531167744,8763,2591
862831371563274240,19667,5315
862722525377298433,17510,3705
862457590147678208,21085,5207
862096992088072192,76577,24435
861383897657036800,37061,11224
861288531465048066,17673,4376
861005113778896900,17191,4001
860981674716409858,0,2268
860924035999428608,0,856
860563773140209665,7723,2268
860524505164394496,24290,5544
860276583193509888,18829,3653
860184849394610176,17173,6149
860177593139703809,0,32479
859924526012018688,20115,4309
859851578198683649,15846,3685
859607811541651456,19140,1657
859196978902773760,92685,31902
859074603037188101,34951,14368
858860390427611136,0,8571
858843525470990336,16039,3668
858471635011153920,22201,5113
858107933456039936,16239,3079
857989990357356544,16648,2730
857746408056729600,35385,11218
857393404942143489,6118,1726
857263160327368704,20668,4790
857214891891077121,238,20
857062103051644929,0,179
857029823797047296,19570,4241
856602993587888130,0,11319
856543823941562368,16860,3052
856526610513747968,12240,1999
856330835276025856,0,718
856288084350160898,535,17
856282028240666624,28652,6687
855862651834028034,362,28
855860136149123072,5117,1101
855857698524602368,12266,2248
855851453814013952,47106,18751
855818117272018944,27585,5786
855459453768019968,31114,8752
855245323840757760,0,6362
855138241867124737,0,49
854732716440526848,23764,6511
854482394044301312,30563,7357
854365224396361728,19684,5021
854120357044912130,33294,8024
854010172552949760,16878,3360
853760880890318849,29882,6220
853639147608842240,36501,10901
853299958564483072,16250,3824
852936405516943360,0,2174
852912242202992640,9469,1981
852672615818899456,15642,2311
852553447878664193,17170,3780
852311364735569921,34737,10666
852226086759018497,20975,7363
852189679701164033,12019,1703
851953902622658560,0,10404
851861385021730816,0,23
851591660324737024,17025,3737
851464819735769094,25517,7632
851224888060895234,21727,6185
850753642995093505,32719,10063
850380195714523136,13741,2825
850333567704068097,3591,361
850145622816686080,17208,4133
850019790995546112,21572,5312
849776966551130114,32123,8248
849668094696017920,0,5385
849412302885593088,16749,3399
849336543269576704,12060,2051
849051919805034497,44779,9265
848690551926992896,26640,4688
848324959059550208,26167,5003
848213670039564288,8643,814
848212111729840128,17289,3349
847978865427394560,0,3547
847971574464610304,0,467
847962785489326080,24846,5577
847842811428974592,5817,1468
847617282490613760,7424,457
847606175596138505,19845,3677
847251039262605312,21623,4659
847157206088847362,21178,6376
847116187444137987,22693,3479
846874817362120707,21285,4286
846514051647705089,47417,12667
846505985330044928,15013,3383
846153765933735936,33710,9882
846139713627017216,32702,10723
846042936437604353,16977,3142
845812042753855489,31115,9559
845677943972139009,26669,5223
845397057150107648,8103,1994
845306882940190720,24789,5889
845098359547420673,0,8404
844979544864018432,14476,2832
844973813909606400,16089,3519
844704788403113984,41215,11319
844580511645339650,17520,3430
844223788422217728,14500,2399
843981021012017153,16057,3198
843856843873095681,22782,5073
